2021-10-19 07:42:28.077 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStarting:55 -Starting ServletInitializer v1.0 using Java 1.8.0_172 on CN-20191003CFKL with PID 13152 (D:\apache-tomcat-9.0.8\webapps\yunwei\WEB-INF\classes started by Administrator in D:\apache-tomcat-9.0.8\bin)
2021-10-19 07:42:28.084 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStartupProfileInfo:660 -No active profile set, falling back to default profiles: default
2021-10-19 07:42:34.843 INFO [main]o.s.b.w.s.context.ServletWebServerApplicationContext.prepareWebApplicationContext:289 -Root WebApplicationContext: initialization completed in 6603 ms
2021-10-19 07:42:36.812 INFO [main]org.springframework.boot.web.servlet.RegistrationBean.register:110 -Servlet UReportServlet was not registered (possibly already registered?)
2021-10-19 07:42:41.482 INFO [main]o.s.scheduling.concurrent.ThreadPoolTaskExecutor.initialize:181 -Initializing ExecutorService 'applicationTaskExecutor'
2021-10-19 07:42:42.377 INFO [main]com.alibaba.druid.pool.DruidDataSource.init:985 -{dataSource-1} inited
2021-10-19 07:42:45.053 INFO [main]o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory.createActiviti5CompatibilityHandler:38 -Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
2021-10-19 07:42:46.706 INFO [main]org.activiti.engine.impl.ProcessEngineImpl.<init>:87 -ProcessEngine default created
2021-10-19 07:42:53.821 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStarted:61 -Started ServletInitializer in 28.837 seconds (JVM running for 79.887)
2021-10-19 07:42:54.502 INFO [main]o.s.scheduling.concurrent.ThreadPoolTaskExecutor.shutdown:218 -Shutting down ExecutorService 'applicationTaskExecutor'
2021-10-19 07:42:54.506 INFO [main]com.alibaba.druid.pool.DruidDataSource.close:2032 -{dataSource-1} closing ...
2021-10-19 07:42:55.703 INFO [main]com.alibaba.druid.pool.DruidDataSource.close:2104 -{dataSource-1} closed
2021-10-19 07:48:58.108 WARN [http-nio-8088-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 371622
2021-10-19 07:48:59.354 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 372910
2021-10-19 07:48:59.386 WARN [http-nio-8088-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 373201
2021-10-19 07:48:59.421 WARN [http-nio-8088-exec-2]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 373027
2021-10-19 07:48:59.438 WARN [http-nio-8088-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 373258
2021-10-19 08:03:02.364 WARN [http-nio-8088-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 842379
2021-10-19 08:03:02.392 WARN [http-nio-8088-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 842445
2021-10-19 08:03:02.396 WARN [http-nio-8088-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 842487
2021-10-19 08:03:02.418 WARN [http-nio-8088-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 842578
2021-10-19 08:08:17.822 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 314163
2021-10-19 08:08:17.837 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 314226
