2021-11-25 16:17:38.259 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStarting:55 -Starting ServletInitializer v1.0 using Java 1.8.0_172 on CN-20191003CFKL with PID 10468 (D:\apache-tomcat-9.0.8\webapps\yunwei\WEB-INF\classes started by Administrator in D:\apache-tomcat-9.0.8\bin)
2021-11-25 16:17:38.266 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStartupProfileInfo:660 -No active profile set, falling back to default profiles: default
2021-11-25 16:17:43.821 INFO [main]o.s.b.w.s.context.ServletWebServerApplicationContext.prepareWebApplicationContext:289 -Root WebApplicationContext: initialization completed in 5396 ms
2021-11-25 16:17:46.328 INFO [main]org.springframework.boot.web.servlet.RegistrationBean.register:110 -Servlet UReportServlet was not registered (possibly already registered?)
2021-11-25 16:17:51.878 INFO [main]o.s.scheduling.concurrent.ThreadPoolTaskExecutor.initialize:181 -Initializing ExecutorService 'applicationTaskExecutor'
2021-11-25 16:17:53.084 INFO [main]com.alibaba.druid.pool.DruidDataSource.init:985 -{dataSource-1} inited
2021-11-25 16:17:55.397 INFO [main]o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory.createActiviti5CompatibilityHandler:38 -Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
2021-11-25 16:17:56.726 INFO [main]org.activiti.engine.impl.ProcessEngineImpl.<init>:87 -ProcessEngine default created
2021-11-25 16:18:06.523 INFO [main]com.sss.yunweiadmin.ServletInitializer.logStarted:61 -Started ServletInitializer in 29.874 seconds (JVM running for 73.069)
2021-11-25 16:48:22.211 INFO [http-nio-8088-exec-9]org.springframework.web.servlet.DispatcherServlet.initServletBean:525 -Initializing Servlet 'dispatcherServlet'
2021-11-25 16:48:22.216 INFO [http-nio-8088-exec-9]org.springframework.web.servlet.DispatcherServlet.initServletBean:547 -Completed initialization in 2 ms
2021-11-25 16:48:23.267 WARN [http-nio-8088-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 1826415
2021-11-25 16:49:58.648 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 72672
2021-11-25 16:49:58.654 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 83385
2021-11-25 16:49:58.656 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 83388
2021-11-25 16:49:58.660 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 83634
2021-11-25 16:49:58.661 WARN [http-nio-8088-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 89372
2021-11-25 16:52:53.106 WARN [http-nio-8088-exec-8]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 138464
2021-11-25 16:52:53.108 WARN [http-nio-8088-exec-8]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 173863
2021-11-25 16:59:25.136 WARN [http-nio-8088-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 391271
2021-11-25 16:59:25.139 WARN [http-nio-8088-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 391295
2021-11-25 17:01:39.992 WARN [http-nio-8088-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1489 -discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/yunwei1?useUnicode=true&characterEncoding=utf-8&useSSL=true&serverTimezone=Asia/Shanghai&nullCatalogMeansCurrent=true, version : 1.2.4, lastPacketReceivedIdleMillis : 109742
